"id","description","name"
"__export__.it_components_1_3e76d333","","Windows Server 2003"
"__export__.it_components_2_0af2af5e","","Windows Server 2008"
"__export__.it_components_3_b1e71c5f","","Windows Server 2012"
"__export__.it_components_4_012fc8bc","","Windows Server 2016"
"__export__.it_components_5_9f1e29ff","","Windows Server 2019"
"__export__.it_components_6_f26a8d98","","Windows Server 2022"
"__export__.it_components_7_8e3d3969","","Ubuntu 16.04 LTS (Xenial Xerus)"
"__export__.it_components_8_fc90cab8","","Ubuntu 18.04 LTS (Bionic Beaver)"
"__export__.it_components_9_6acbfa3f","","Ubuntu 20.04 LTS (Focal Fossa)"
"__export__.it_components_10_5bf34135","","Ubuntu 21.04 (Hirsute Hippo)"
"__export__.it_components_11_725c8024","","Ubuntu 21.10 (Impish Indri)"
"__export__.it_components_12_40a1f14f","","CentOS 6"
"__export__.it_components_13_956d1183","","CentOS 7"
"__export__.it_components_14_c75f9fe1","","CentOS 8"
"__export__.it_components_15_07e76219","","Red Hat Enterprise Linux 6 (RHEL 6)"
"__export__.it_components_16_ce20e33d","","Red Hat Enterprise Linux 6 (RHEL 7)"
"__export__.it_components_17_5d5e3955","","Red Hat Enterprise Linux 6 (RHEL 8)"
"__export__.it_components_18_ead8bad9","","Oracle Solaris 10"
"__export__.it_components_19_9e71a825","","Oracle Solaris 11"
"__export__.it_components_20_29bd37c9","","PostgreSQL 9.x Series"
"__export__.it_components_21_3bb2c336","","PostgreSQL 10"
"__export__.it_components_22_b13939f9","","PostgreSQL 11"
"__export__.it_components_23_1ee53a94","","PostgreSQL 12"
"__export__.it_components_24_2d1c57c8","","PostgreSQL 13"
"__export__.it_components_25_f7e3c541","","PostgreSQL 14"
"__export__.it_components_26_5a597bf3","","MySQL 5.x Series"
"__export__.it_components_27_b58f4704","","MySQL 8.0"
"__export__.it_components_28_e4ebc234","","MySQL 8.0.23"
"__export__.it_components_29_7458a703","","MariaDB 5.x Series"
"__export__.it_components_30_f26cb02b","","MariaDB 10.0"
"__export__.it_components_31_9ea540d3","","MariaDB 10.1"
"__export__.it_components_32_b5709edb","","MariaDB 10.2"
"__export__.it_components_33_d9835ddd","","MariaDB 10.3"
"__export__.it_components_34_521f8885","","MariaDB 10.4"
"__export__.it_components_35_6a8e6957","","MariaDB 10.5"
"__export__.it_components_36_db4e5fdd","","SQL Server 2005"
"__export__.it_components_37_fc192d4c","","SQL Server 2008"
"__export__.it_components_38_0ede4e1c","","SQL Server 2008 R2"
"__export__.it_components_39_1ddfa2b1","","SQL Server 2012"
"__export__.it_components_40_06293a6d","","SQL Server 2014"
"__export__.it_components_41_2bec676a","","SQL Server 2016"
"__export__.it_components_42_e01a8856","","SQL Server 2017"
"__export__.it_components_43_84086cec","","SQL Server 2019"
