"id","description","name"
"__export__.tcp_ports_1_e22872ec","","21 FTP"
"__export__.tcp_ports_2_02c94fb0","","22 SSH"
"__export__.tcp_ports_3_b08cda0b","","23 Telnet"
"__export__.tcp_ports_4_3fd5a9af","","25 SMTP"
"__export__.tcp_ports_5_38bfc54a","","53 DNS"
"__export__.tcp_ports_6_46dd97df","","80 HTTP"
"__export__.tcp_ports_7_5973c45c","","110 POP3"
"__export__.tcp_ports_8_8f797a43","","143 IMAP4"
"__export__.tcp_ports_9_9f21f2c3","","443 HTTPs"
"__export__.tcp_ports_10_ceb74b21","","465 SMTP TLS/SSL"
"__export__.tcp_ports_11_36689402","","587 SMTP"
"__export__.tcp_ports_12_4cc7dc26","","3306 MySQL"
"__export__.tcp_ports_13_7d56b896","","5432 PSQL"
