"id","name","description","compliance_control_ids/name","compliance_control_ids/description","compliance_control_ids/id","compliance_version_id/id"
"__export__.compliance_control_objective_1_11589eb8","AC-1 POLICY AND PROCEDURES","","a. Develop, document, and disseminate to [Assignment: organization-defined personnel or  roles]:","1. [Selection (one or more): Organization-level; Mission/business process-level; System/level] access control policy that:
(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2. Procedures to facilitate the implementation of the access control policy and the associated access controls;","__export__.compliance_control_374_e88c9551","__export__.compliance_version_1_9fc7045a"
"","","","b. Designate an [Assignment: organization-defined official] to manage the development,  documentation, and dissemination of the access control policy and procedures; and","","__export__.compliance_control_375_38b5795f",""
"","","","c. Review and update the current access control:","1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2. Procedures [Assignment: organization-defined frequency] and following [Assignment:organization-defined events].","__export__.compliance_control_376_f81b6b44",""
"__export__.compliance_control_objective_2_47893753","AC-2 ACCOUNT MANAGEMENT","","a. Define and document the types of accounts allowed and specifically prohibited for use  within the system;","","__export__.compliance_control_377_4e7de060","__export__.compliance_version_1_9fc7045a"
"","","","b. Assign account managers;","","__export__.compliance_control_378_f36bf733",""
"","","","c. Require [Assignment: organization-defined prerequisites and criteria] for group and role  membership;","","__export__.compliance_control_379_0bb04e2d",""
"","","","d. Specify:","1. Authorized users of the system;
2. Group and role membership; and
3. Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;","__export__.compliance_control_380_3d6e1d93",""
"","","","e. Require approvals by [Assignment: organization-defined personnel or roles] for requests to  create accounts;","","__export__.compliance_control_381_7b77528f",""
"","","","f. Create, enable, modify, disable, and remove accounts in accordance with [Assignment:  organization-defined policy, procedures, prerequisites, and criteria];","","__export__.compliance_control_382_9650b924",""
"","","","g. Monitor the use of accounts;","","__export__.compliance_control_383_c3af99a3",""
"","","","h. Notify account managers and [Assignment: organization-defined personnel or roles] within:","1. [Assignment: organization-defined time period] when accounts are no longer required;
2. [Assignment: organization-defined time period] when users are terminated or 
transferred; and
3. [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;","__export__.compliance_control_384_fbece50e",""
"","","","i. Authorize access to the system based on:","1. A valid access authorization;
2. Intended system usage; and
3. [Assignment: organization-defined attributes (as required)];","__export__.compliance_control_385_1dfdabeb",""
"","","","j. Review accounts for compliance with account management requirements [Assignment:  organization-defined frequency];","","__export__.compliance_control_386_7aabbabd",""
"","","","k. Establish and implement a process for changing shared or group account authenticators (if  deployed) when individuals are removed from the group; and","","__export__.compliance_control_387_4b647898",""
"","","","l. Align account management processes with personnel termination and transfer processes.","","__export__.compliance_control_388_6d3e9ce3",""
"__export__.compliance_control_objective_3_bdb53953","AC-3 ACCESS ENFORCEMENT","","Enforce approved authorizations for logical access to information and system resources  in accordance with applicable access control policies.","","__export__.compliance_control_389_39b8a692","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_4_e873d19d","AC-4 INFORMATION FLOW ENFORCEMENT","","Enforce approved authorizations for controlling the flow of information within the  system and between connected systems based on [Assignment: organization-defined  information flow control policies].","","__export__.compliance_control_390_9cbb5a74","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_5_793806df","AC-5 SEPARATION OF DUTIES","","a. Identify and document [Assignment: organization-defined duties of individuals requiring  separation]; and","","__export__.compliance_control_391_6a97bc03","__export__.compliance_version_1_9fc7045a"
"","","","b. Define system access authorizations to support separation of duties.","","__export__.compliance_control_392_f0650ac2",""
"__export__.compliance_control_objective_6_213e39ce","AC-6 LEAST PRIVILEGE","","Employ the principle of least privilege, allowing only authorized accesses for users (or  processes acting on behalf of users) that are necessary to accomplish assigned organizational  tasks.","","__export__.compliance_control_393_591b2fe2","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_7_816d0093","AC-7 UNSUCCESSFUL LOGON ATTEMPTS","","a. Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon  attempts by a user during a [Assignment: organization-defined time period]; and","","__export__.compliance_control_394_b3323d9c","__export__.compliance_version_1_9fc7045a"
"","","","b. Automatically [Selection (one or more): lock the account or node for an [Assignment:  organization-defined time period]; lock the account or node until released by an  administrator; delay next logon prompt per [Assignment: organization-defined delay  algorithm]; notify system administrator; take other [Assignment: organization-defined  action]] when the maximum number of unsuccessful attempts is exceeded.","","__export__.compliance_control_395_bc1fb8bb",""
"__export__.compliance_control_objective_32_cc3f6d7b","Requirement 1: Install and Maintain Network Security Controls","<p style=""margin-bottom: 0px;"">Network security controls (NSCs), such as firewalls and other network security technologies, are network policy enforcement points that typically control network traffic between two or more logical or physical network segments (or subnets) based on pre-defined policies or rules. 
NSCs examine all network traffic entering (ingress) and leaving (egress) a segment and decide, based on the policies defined, whether the network traffic is allowed to pass or whether it should be rejected. Typically, NSCs are placed between environments with different security needs or levels of trust, however in some environments NSCs control the traffic to individual devices irrespective of trust boundaries. Policy enforcement generally occurs at layer 3 of the OSI model, but data present in higher layers is also frequently used to determine policy decisions.
Traditionally this function has been provided by physical firewalls; however, now this functionality may be provided by virtual devices, cloud access controls, virtualization/container systems, and other software-defined networking technology. 
NSCs are used to control traffic within an entity’s own networks—for example, between highly sensitive and less sensitive areas—and also to protect the entity’s resources from exposure to untrusted networks. The cardholder data environment (CDE) is an example of a more sensitive area within an entity’s network. Often, seemingly insignificant paths to and from untrusted networks can provide unprotected pathways into sensitive systems. NSCs provide a key protection mechanism for any computer network.
Common examples of untrusted networks include the Internet, dedicated connections such as business-to business communication channels, wireless networks, carrier networks (such as cellular), third-party networks, and other sources outside the entity’s ability to control. Furthermore, untrusted networks also include corporate networks that are considered out-of-scope for PCI DSS, because they are not assessed, and therefore must be treated as untrusted because the existence of security controls has not been verified. While an entity may consider an internal network to be trusted from an infrastructure perspective, if a network is out of scope for PCI DSS, that network must be considered untrusted for PCI DSS. </p>","1.1 Processes and mechanisms for installing and maintaining network security controls are defined and understood","<ul style=""margin-bottom: 0px;""><li>1.1.1 All security policies and operational procedures that are identified in Requirement 1 are:  Documented. Kept up to date. In use. Known to all affected parties&nbsp;</li><li>1.1.2 Roles and responsibilities for performing activities in Requirement 1 are documented, assigned, and understood.</li></ul>","__export__.compliance_control_131_ff0fcde2","__export__.compliance_version_3_d4327a3a"
