"id","description","threat_event"
"__export__.adversarial_threat_events_74_7314be82","Adversary uses commercial or free software to scan organizational perimeters to obtain a better understanding of the information technology infrastructure and improve the ability to launch successful attacks. ","Perform perimeter network reconnaissance/scanning."
"__export__.adversarial_threat_events_75_9819b532","Adversary with access to exposed wired or wireless data channels used to transmit information, uses network sniffing to identify components, resources, and protections","Perform network sniffing of exposed networks."
"__export__.adversarial_threat_events_76_3736c294","Adversary mines publically accessible information to gather information about organizational information systems, business processes, users or personnel, or external relationships that the adversary can subsequently employ in support of an attack. ","Gather information using open source discovery of  organizational information"
"__export__.adversarial_threat_events_77_229c1c08","Adversary uses various means (e.g., scanning, physical observation) over time to examine and assess organizations and ascertain points of vulnerability. ","Perform reconnaissance and surveillance of targeted  organizations."
"__export__.adversarial_threat_events_78_81f06bfe","Adversary uses malware installed inside the organizational perimeter to identify targets of opportunity. Because the scanning, probing, or observation does not cross the perimeter, it is not detected by externally placed intrusion detection systems. ","Perform malware-directed internal reconnaissance."
"__export__.adversarial_threat_events_79_40f99037","Adversary counterfeits communications from a legitimate/trustworthy source to acquire sensitive information such as usernames, passwords, or SSNs. Typical attacks occur via email, instant messaging, or comparable means; commonly directing users to websites that appear to be legitimate sites, while actually stealing the entered information. ","Craft phishing attacks"
"__export__.adversarial_threat_events_80_225bb702","Adversary employs phishing attacks targeted at high value targets (e.g., senior leaders/executives). ","Craft spear phishing attacks"
"__export__.adversarial_threat_events_81_b69ae721","Adversary develops attacks (e.g., crafts targeted malware) that take advantage of adversary knowledge of the organizational information technology environment","Craft attacks specifically based on deployed information  technology environment."
"__export__.adversarial_threat_events_82_cb2df779","Adversary creates duplicates of legitimate websites; when users visit a counterfeit site, the site can gather information or download malware","Create counterfeit/spoof website."
"__export__.adversarial_threat_events_83_2bebbaed","Adversary counterfeits or compromises a certificate authority, so that malware or connections will appear legitimate.","Craft counterfeit certificates."
"__export__.adversarial_threat_events_84_1bfda185","Adversary creates false front organizations with the appearance of legitimate suppliers in the critical life-cycle path that then inject corrupted/malicious information system components into the organizational supply chain","Create and operate false front organizations to inject  malicious components into the supply chain"
"__export__.adversarial_threat_events_85_3c650668","Adversary uses common delivery mechanisms (e.g., email) to install/insert known malware (e. g., malware whose existence is known) into organizational information systems. ","Deliver known malware to internal organizational  information systems (e.g., virus via email)."
"__export__.adversarial_threat_events_86_6a959dec","Adversary uses more sophisticated delivery mechanisms than email (e.g., web traffic, instant messaging, FTP) to deliver malware and possibly modifications of known malware to gain access to internal organizational information systems.","Deliver modified malware to internal organizational  information systems."
"__export__.adversarial_threat_events_87_f2c3411f","Adversary installs malware that is specifically designed to take control of internal organizational information systems, identify sensitive information, exfiltrate the information back to adversary, and conceal these actions","Deliver targeted malware for control of internal systems  and exfiltration of data"
"__export__.adversarial_threat_events_88_53e982c8","Adversary places removable media (e.g., flash drives) containing malware in locations external to organizational physical perimeters but where employees are likely to find the media (e.g., facilities parking lots, exhibits at conferences attended by employees) and use it on organizational information systems","Deliver malware by providing removable media"
"__export__.adversarial_threat_events_89_760ebe32","Adversary corrupts or inserts malware into common freeware, shareware or commercial information technology products. Adversary is not targeting specific organizations, simply looking for entry points into internal organizational information systems. Note that this is particularly a concern for mobile applications","Insert untargeted malware into downloadable software  and/or into commercial information technology products"
"__export__.adversarial_threat_events_90_806d30a8","Adversary inserts malware into organizational information systems and information system components (e.g., commercial information technology products), specifically targeted to the hardware, software, and firmware used by organizations (based on knowledge gained via reconnaissance)","nsert targeted malware into organizational information  systems and information system components"
"__export__.adversarial_threat_events_91_62d4e0d7","Adversary inserts specialized, non-detectable, malware into organizational information systems based on system configurations, specifically targeting critical information system components based on reconnaissance and placement within organizational information systems.","Insert specialized malware into organizational  information systems based on system configurations"
"__export__.adversarial_threat_events_92_107121a9","Adversary intercepts hardware from legitimate suppliers. Adversary modifies the hardware or replaces it with faulty or otherwise modified hardware. ","Insert counterfeit or tampered hardware into the supply  chain."
"__export__.adversarial_threat_events_93_1dd08bad","Adversary replaces, though supply chain, subverted insider, or some combination thereof, critical information system components with modified or corrupted components","Insert tampered critical components into organizational systems."
"__export__.adversarial_threat_events_94_887f55c0","Adversary installs sniffing software onto internal organizational information systems or networks","Install general-purpose sniffers on organizationcontrolled information systems or networks"
"__export__.adversarial_threat_events_95_ac399548","Adversary places within internal organizational information systems or networks software designed to (over a continuous period of time) collect (sniff) network traffic","Install persistent and targeted sniffers on organizational  information systems and networks"
"__export__.adversarial_threat_events_96_ac721096","Adversary uses postal service or other commercial delivery services to deliver to organizational mailrooms a device that is able to scan wireless communications accessible from within the mailrooms and then wirelessly transmit information back to adversary. ","Insert malicious scanning devices (e.g., wireless  sniffers) inside facilities"
"__export__.adversarial_threat_events_97_7ed03358","Adversary places individuals within organizations who are willing and able to carry out actions to cause harm to organizational missions/business functions. ","Insert subverted individuals into organizations"
"__export__.adversarial_threat_events_98_600c2616","Adversary places individuals in privileged positions within organizations who are willing and able to carry out actions to cause harm to organizational missions/business functions. Adversary may target privileged functions to gain access to sensitive information (e.g., user accounts, system files, etc.) and may leverage access to one privileged capability to get to another capability. ","Insert subverted individuals into privileged positions in  organizations"
"__export__.adversarial_threat_events_99_e34d6038","Adversary follows (“tailgates”) authorized individuals into secure/controlled locations with the goal of gaining access to facilities, circumventing physical security checks.","Exploit physical access of authorized staff to gain  access to organizational facilities."
"__export__.adversarial_threat_events_100_90f9dc91","Adversary gains access through the Internet to information systems that are not authorized for Internet connectivity or that do not meet organizational configuration requirements","Exploit poorly configured or unauthorized information  systems exposed to the Internet"
"__export__.adversarial_threat_events_101_2e54d2bb","Adversary takes advantage of external organizational or personal information systems (e.g., laptop computers at remote locations) that are simultaneously connected securely to organizational information systems or networks and to nonsecure remote connections.","Exploit split tunneling"
"__export__.adversarial_threat_events_102_c2bf8d1a","Adversary, with processes running in an organizationally-used cloud environment, takes advantage of multi-tenancy to observe behavior of organizational processes, acquire organizational information, or interfere with the timely or correct functioning of organizational processes","Exploit multi-tenancy in a cloud environment"
"__export__.adversarial_threat_events_103_ca15afff","Adversary takes advantage of fact that transportable information systems are outside physical protection of organizations and logical protection of corporate firewalls, and compromises the systems based on known vulnerabilities to gather information from those systems. ","Exploit known vulnerabilities in mobile systems (e.g.,  laptops, PDAs, smart phones)"
"__export__.adversarial_threat_events_104_57e0f7bc","Adversary exploits recently discovered vulnerabilities in organizational information systems in an attempt to compromise the systems before mitigation measures are available or in place","Exploit recently discovered vulnerabilities."
"__export__.adversarial_threat_events_105_b1462289","Adversary searches for known vulnerabilities in organizational internal information systems and exploits those vulnerabilities. ","Exploit vulnerabilities on internal organizational  information systems."
"__export__.adversarial_threat_events_106_fa7d997a","Adversary employs attacks that exploit as yet unpublicized vulnerabilities. Zero-day attacks are based on adversary insight into the information systems and applications used by organizations as well as adversary reconnaissance of organizations. ","Exploit vulnerabilities using zero-day attacks"
"__export__.adversarial_threat_events_107_5e2427ea","Adversary launches attacks on organizations in a time and manner consistent with organizational needs to conduct mission/business operations","Exploit vulnerabilities in information systems timed with  organizational mission/business operations tempo"
"__export__.adversarial_threat_events_108_1ea300a8","Adversary obtains unauthorized information due to insecure or incomplete data deletion in a multi-tenant environment (e.g., in a cloud computing environment)","Exploit insecure or incomplete data deletion in multi-tenant environment"
